Element,Molar_ratio,Enthalpy(kJ/mol),std_enthalpy(kJ/mol),a,Delta(%),Omega,Entropy(J/K*mol),Tm(K),std_Tm (%),X,std_X(%),VEC,std_VEC,Phase(0-1),Density(g/com^3),Price(USD/kg)
,0.32-0.13-0.23-0.17-0.09-0.04-0.02,-16.613117,6.3491535,1.3395951,4.861257,1.3619512,14.05126,1610.2649,30.723234,1.7177241,7.0615387,6.0048237,2.5170012,0.04351704,5.6339974,14.591278
,0.15-0.19-0.17-0.13-0.09-0.08-0.18,-6.9716887,6.2891426,1.3519533,3.6468413,3.7256477,15.912591,1632.2955,23.711065,1.7772049,7.618808,7.7483397,2.595531,0.05559388,7.107643,17.865026
,0.30-0.05-0.21-0.44,-1.8797057,1.094395,1.3628504,1.6129586,9.440022,9.969971,1779.79,5.46246,1.8718972,3.057643,9.08405,1.0445114,0.99656016,8.569718,23.625816
,0.17-0.09-0.24-0.10-0.20-0.11-0.10,-11.832306,7.913194,1.3599808,3.9859474,2.250538,15.597177,1707.2996,24.429153,1.7434009,7.543847,6.8740263,2.6223125,0.08294402,6.4211187,11.393428
,0.13-0.26-0.16-0.10-0.09-0.02-0.23,-7.1504383,6.0144014,1.3501824,3.34018,3.4667335,14.845099,1669.8209,21.597069,1.8054478,6.774614,8.008884,2.4744265,0.054359745,7.349551,22.045223
,0.14-0.03-0.10-0.23-0.11-0.02-0.18-0.20,-14.820976,10.063345,1.357516,3.6153548,1.7106797,15.693465,1615.5731,23.229937,1.7685163,11.204707,7.4164367,3.1136658,0.29896235,6.7946134,3494.6501
,0.12-0.23-0.07-0.20-0.10-0.28,-9.685402,5.0003552,1.3609092,3.8566258,2.6129048,14.048457,1801.4098,26.03942,1.856262,7.653835,7.8342195,2.247761,0.021078281,7.712416,20.818703
,0.06-0.34-0.14-0.30-0.11-0.05,3.875176,3.7459311,1.3765446,2.1273592,4.9961166,12.952519,1494.7544,18.448212,1.7870562,8.88791,9.284695,1.9759686,0.011703406,8.195066,9.567563
,0.22-0.19-0.25-0.19-0.12-0.02,-11.415182,5.187845,1.3559,4.426165,2.004194,13.742063,1664.8328,26.511627,1.7168826,7.1443005,6.5029554,2.1748211,0.011023843,6.3552303,17.403473
,0.29-0.19-0.06-0.16-0.17-0.14,0.72930765,1.5527755,1.4684739,5.285026,46.614063,14.167414,2399.594,14.595142,1.4652307,9.502103,4.4128075,0.49423015,0.99999416,9.32867,704.5598
